mes;ano;Projeto1;Projeto2;Projeto3;Projeto4;Projeto5
1;2025;35000;33000;65000;30000;27660
2;2025;32500;42600;53000;39000;24999
3;2025;26700;35800;48000;36000;27104
4;2025;24000;28700;58000;27000;27487
5;2025;19000;35200;49000;32000;30394
6;2025;22000;44950;47500;39500;30469
7;2025;23900;31640;58600;29000;30112
8;2025;25400;33550;48500;30000;29908
9;2025;23200;36980;65000;32000;25878
10;2025;24700;33240;49000;31000;26110
11;2025;25100;36570;63000;28000;29556
12;2025;24000;33000;52000;24000;21000
1;2026;42000;39600;78000;36000;33192
2;2026;36400;47712;59360;43680;27999
3;2026;26433;35442;47520;35640;26833
4;2026;20880;24969;50460;23490;23914
5;2026;19057;35306;49147;32096;30485
6;2026;24200;49445;52250;43450;33516
7;2026;31070;41132;76180;37700;39146
8;2026;25375;33516;48452;29970;29878
9;2026;23200;36980;65000;32000;25878
10;2026;24206;32575;48020;30380;25588
11;2026;27886;40629;69993;31108;32837
